n_mut,obs,freq_act,dens_lib,frac_act,signal_avg,signal_med
1,150,148,0.0356887937187723,0.986666666666667,-1.26122190384547,-0.993342822962066
2,413,295,0.0982631453723531,0.714285714285714,-4.13696051052804,-3.63136398514627
3,851,442,0.202474423031168,0.519388954171563,-5.28499651355484,-5.17885178044876
4,1256,501,0.298834166071853,0.398885350318471,-6.01741432576386,-7.56028088708479
5,1323,271,0.314775160599572,0.204837490551776,-7.31689362979988,-7.90820419050509
6,209,24,0.0497263859148227,0.114832535885167,-7.49406611260578,-7.80128898658858
