n_mut,obs,freq_act,dens_lib,frac_act,signal_avg,signal_med
1,20,15,0.0125628140703518,0.75,-1.02405256260604,-0.0474370485904024
2,475,400,0.298366834170854,0.842105263157895,-0.418876133722817,0.118170177132605
3,431,144,0.27072864321608,0.334106728538283,-3.03967621868321,-3.16386519063124
4,417,150,0.261934673366834,0.359712230215827,-2.92998209328105,-2.96929266411774
5,203,66,0.12751256281407,0.32512315270936,-3.17657510608734,-3.34839762278632
6,32,5,0.0201005025125628,0.15625,-4.24884483501902,-4.97666043261918
7,13,1,0.00816582914572864,0.0769230769230769,-4.82748312199198,-5.00736070495125
