n_mut,obs,freq_act,dens_lib,frac_act,signal_avg,signal_med
1,104,99,0.0304004676995031,0.951923076923077,-1.08737196840656,-0.553523507852235
2,227,165,0.0663548669979538,0.726872246696035,-3.1350197549421,-3.0160946579346
3,526,283,0.153756211634025,0.538022813688213,-4.28300081752836,-4.43687997663237
4,784,322,0.229172756503946,0.410714285714286,-5.21966453403617,-5.93111647557516
5,862,230,0.251973107278574,0.266821345707657,-6.19288406108739,-7.02247830597154
6,645,55,0.188541362174803,0.0852713178294574,-7.03633513851862,-7.23021946328745
7,272,8,0.0795089155217773,0.0294117647058824,-7.27073005855051,-7.25467426352792
