n_mut,obs,freq_act,dens_lib,frac_act,signal_avg,signal_med
1,17,17,0.00379210350211912,1,-0.00498049002728022,0.196011929040795
2,118,117,0.0263216596029445,0.991525423728814,0.304158071443343,0.659598005514329
3,391,362,0.0872183805487397,0.925831202046036,-0.150680302556073,0.376825246625843
4,684,494,0.152576399732322,0.722222222222222,-1.14568019765029,-0.182270652510037
5,982,444,0.219049743475351,0.45213849287169,-2.82766444601564,-3.33053388545504
6,993,310,0.221503457506134,0.312185297079557,-3.74797580558682,-3.7676509182048
7,825,108,0.184028552308722,0.130909090909091,-5.10923923657174,-5.72659370991962
8,468,12,0.10439437876422,0.0256410256410256,-6.04605226106712,-6.18372837769118
9,4,0,0.000892259647557439,0,-5.94681559027635,-5.97962672359591
