n_mut,obs,freq_act,dens_lib,frac_act,signal_avg,signal_med
1,12,0,0.00267677894267232,0,2.15950084294767,1.51487367169703
2,84,4,0.0187374525987062,0.0476190476190476,2.73732022039626,3.03615159911007
3,339,52,0.075619005130493,0.153392330383481,3.17461523429616,3.38204908732493
4,689,223,0.153691724291769,0.323657474600871,4.02358977178962,3.83977639974998
5,1128,588,0.251617220611198,0.521276595744681,4.82345943638152,4.69810108219058
6,1215,680,0.271023867945572,0.559670781893004,5.15306633505619,5.32192809488736
7,736,291,0.164175775150569,0.395380434782609,4.35826766448737,4.01380579952503
8,275,27,0.0613428507695739,0.0981818181818182,2.22187818113547,1.60572106088795
9,4,0,0.000892259647557439,0,1.63853219420752,1.60572106088795
