n_mut,obs,freq_act,dens_lib,frac_act,signal_avg,signal_med
1,44,39,0.0129716981132075,0.886363636363636,-0.87508058255087,-0.693426906357862
2,388,252,0.11438679245283,0.649484536082474,-1.57234495050564,-1.05107696808811
3,925,441,0.272700471698113,0.476756756756757,-2.4346397768507,-2.35831608020417
4,1309,639,0.385908018867925,0.488158899923606,-2.59861243667328,-2.33005078963925
5,674,308,0.198702830188679,0.456973293768546,-2.73461691576972,-2.75946592418663
6,51,47,0.0150353773584906,0.92156862745098,0.307904810629385,0.542429775183435
