n_mut,obs,freq_act,dens_lib,frac_act,signal_avg,signal_med
1,238,230,0.0251585623678647,0.966386554621849,-1.23311896079394,-0.820741349254754
2,795,591,0.0840380549682875,0.743396226415094,-3.60612461996989,-3.40728541525908
3,2095,1158,0.221458773784355,0.552744630071599,-4.59026373436192,-4.68581176916865
4,2743,1130,0.289957716701903,0.41195771053591,-5.44836520367505,-6.09550251765867
5,2434,559,0.257293868921776,0.229663105998357,-6.72470055979443,-7.54216346960219
6,882,85,0.0932346723044397,0.0963718820861678,-7.12509965442975,-7.4834715929241
7,272,11,0.0287526427061311,0.0404411764705882,-7.27073005855051,-7.25467426352792
