n_mut,obs,freq_act,dens_lib,frac_act,signal_avg,signal_med
1,26,16,0.0136411332633788,0.615384615384615,-2.27305515594082,-1.87418153732195
2,181,108,0.0949632738719832,0.596685082872928,-2.8864581625415,-3.11752882398867
3,725,298,0.380377754459601,0.411034482758621,-3.98034956529058,-4.50358725629575
4,698,235,0.366211962224554,0.336676217765043,-4.66669663081189,-5.85449441815488
5,248,46,0.130115424973767,0.185483870967742,-5.41360144988015,-6.09550251765867
6,27,1,0.0141657922350472,0.037037037037037,-6.3957300873718,-6.56498780095989
