n_mut,obs,freq_act,dens_lib,frac_act,signal_avg,signal_med
1,54,54,0.0159198113207547,1,-0.913504912957127,-1.01784826852201
2,123,122,0.0362617924528302,0.991869918699187,-1.68508600033116,-1.78790455536513
3,210,200,0.0619103773584906,0.952380952380952,-1.80833047529922,-1.57198505607599
4,525,382,0.154775943396226,0.727619047619048,-3.33545489233592,-2.86319268266936
5,919,433,0.270931603773585,0.471164309031556,-4.82416381417235,-4.66042338745326
6,1097,434,0.323408018867925,0.395624430264357,-5.47236542101809,-5.34497173282446
7,460,101,0.13561320754717,0.219565217391304,-6.55782320315777,-7.67054760472697
8,3,0,0.000884433962264151,0,-7.14399991958405,-8.29857882734001
