n_mut,obs,freq_act,dens_lib,frac_act,signal_avg,signal_med
1,64,54,0.0128436684728075,0.84375,-0.92163432631811,-0.642846949060117
2,863,652,0.173188842063014,0.75550405561993,-0.937469298162833,-0.306920986810162
3,1356,583,0.27212522576761,0.429941002949852,-2.62694855740366,-2.66087609093227
4,1726,789,0.346377684126028,0.45712630359212,-2.67867103853043,-2.60713144605546
5,877,373,0.175998394541441,0.425313568985177,-2.83691738627654,-2.95845110447031
6,83,52,0.0166566325506723,0.626506024096386,-1.44891432986157,-0.838392008757496
7,13,0,0.00260887015853903,0,-4.82748312199198,-5.00736070495125
